,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,
11,mean,0.9655,0.978,0.9654,0.9329,0.9674,0.9655,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002559536,0.002416241,0.002554843,0.004809585,0.002262349,0.002559536,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.966,0.9766,0.966,0.9342,0.9681,0.966,,,,,,,,,,,,,,
2,fold_2,0.96,0.9697,0.96,0.9227,0.9627,0.96,,,,,,,,,,,,,,
3,fold_3,0.9641,0.9739,0.964,0.9302,0.9661,0.9641,,,,,,,,,,,,,,
4,fold_4,0.9666,0.977,0.9665,0.9351,0.9685,0.9666,,,,,,,,,,,,,,
5,fold_5,0.966,0.9738,0.966,0.934,0.968,0.966,,,,,,,,,,,,,,
6,fold_6,0.9646,0.9723,0.9646,0.9315,0.9669,0.9646,,,,,,,,,,,,,,
7,fold_7,0.9639,0.9733,0.9639,0.9299,0.966,0.9639,,,,,,,,,,,,,,
8,fold_8,0.966,0.9747,0.966,0.9342,0.9682,0.966,,,,,,,,,,,,,,
9,fold_9,0.9646,0.9715,0.9646,0.9315,0.9669,0.9646,,,,,,,,,,,,,,
10,fold_10,0.9648,0.9743,0.9648,0.9316,0.9668,0.9648,,,,,,,,,,,,,,
11,mean,0.9647,0.9737,0.9646,0.9315,0.9668,0.9647,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.001879243,0.002202751,0.001871541,0.003582194,0.00169758,0.001879243,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,MOLM13,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9644,0.9861,0.9644,0.9299,0.9655,0.9644,,,,,,,,,,,,,,
2,fold_2,0.9648,0.985,0.9648,0.9311,0.9663,0.9648,,,,,,,,,,,,,,
3,fold_3,0.9646,0.9844,0.9645,0.9305,0.966,0.9646,,,,,,,,,,,,,,
4,fold_4,0.9644,0.985,0.9644,0.9305,0.9661,0.9644,,,,,,,,,,,,,,
5,fold_5,0.9636,0.9839,0.9636,0.9282,0.9646,0.9636,,,,,,,,,,,,,,
6,fold_6,0.9654,0.9847,0.9654,0.932,0.9666,0.9654,,,,,,,,,,,,,,
7,fold_7,0.9676,0.987,0.9676,0.9367,0.969,0.9676,,,,,,,,,,,,,,
8,fold_8,0.9664,0.9842,0.9664,0.9339,0.9676,0.9664,,,,,,,,,,,,,,
9,fold_9,0.9633,0.9855,0.9633,0.9278,0.9645,0.9633,,,,,,,,,,,,,,
10,fold_10,0.9629,0.9837,0.9629,0.9269,0.9641,0.9629,,,,,,,,,,,,,,
11,mean,0.9647,0.985,0.9647,0.9308,0.966,0.9647,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.001429219,0.001023339,0.001430656,0.002941749,0.001493728,0.001429219,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
