,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
8,mean_std,0.006740164,0.011109291,0.012340622,0.016123089,0.013779585,0.028127204,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,RBM15_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.758829221,0.701488917,0.592728758,0.429437957,0.665291151,0.534438306,,,,,,,,,,,,,,,,
2,fold_2,0.751330431,0.677731242,0.550306212,0.400241048,0.678167116,0.463010674,,,,,,,,,,,,,,,,
3,fold_3,0.754716981,0.691824226,0.576617954,0.415655072,0.665863067,0.508468336,,,,,,,,,,,,,,,,
4,fold_4,0.745766812,0.68091615,0.559698366,0.393133322,0.649489548,0.491718808,,,,,,,,,,,,,,,,
5,fold_5,0.748548621,0.70898882,0.60795776,0.423297301,0.622874807,0.59373849,,,,,,,,,,,,,,,,
6,mean,0.751838413,0.692189871,0.57746181,0.41235294,0.656337138,0.518274922,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.00512598,0.013275535,0.023541247,0.015318882,0.021296025,0.049526605,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,RPS3_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.747692308,0.679064456,0.55407855,0.390783147,0.646229739,0.484928609,,,,,,,,,,,,,,,,
2,fold_2,0.751623932,0.707718294,0.602679792,0.422752334,0.62259887,0.58399576,,,,,,,,,,,,,,,,
3,fold_3,0.750940171,0.704852092,0.598511987,0.419203949,0.624496837,0.574603175,,,,,,,,,,,,,,,,
4,fold_4,0.742905983,0.690634186,0.576814856,0.394710255,0.614508393,0.543478261,,,,,,,,,,,,,,,,
5,fold_5,0.743076923,0.706210723,0.602065131,0.412364311,0.60190577,0.602224576,,,,,,,,,,,,,,,,
6,mean,0.747247863,0.69769595,0.586830063,0.407962799,0.621947922,0.557846076,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.004160208,0.012461543,0.021170466,0.014450238,0.016229308,0.045982194,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,SND1_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.730769231,0.654865221,0.512351779,0.336632182,0.591220068,0.452048823,,,,,,,,,,,,,,,,
2,fold_2,0.7299509,0.653384562,0.509658247,0.333541832,0.588336192,0.449541284,,,,,,,,,,,,,,,,
3,fold_3,0.727768685,0.640691685,0.483971044,0.317750337,0.594663278,0.408020924,,,,,,,,,,,,,,,,
4,fold_4,0.715357338,0.662985388,0.534671126,0.329939414,0.546490428,0.523352248,,,,,,,,,,,,,,,,
5,fold_5,0.735951991,0.660699072,0.521266073,0.349257001,0.601254991,0.460061109,,,,,,,,,,,,,,,,
6,mean,0.727959629,0.654525186,0.512383654,0.333424153,0.584392992,0.458604878,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.007658183,0.008695894,0.018643592,0.01138855,0.021728828,0.041467486,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,UCHL5_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.739038462,0.662237734,0.524582506,0.370864122,0.66410408,0.433507045,,,,,,,,,,,,,,,,
2,fold_2,0.734935897,0.667854549,0.539788536,0.368159107,0.637319317,0.468146718,,,,,,,,,,,,,,,,
3,fold_3,0.733333333,0.64821473,0.495757576,0.35119625,0.666340828,0.394711446,,,,,,,,,,,,,,,,
4,fold_4,0.730641026,0.646388368,0.49373494,0.344707486,0.656730769,0.395559846,,,,,,,,,,,,,,,,
5,fold_5,0.740128205,0.660530656,0.519782042,0.371871084,0.672799755,0.423470373,,,,,,,,,,,,,,,,
6,mean,0.735615385,0.657045208,0.51472912,0.36135961,0.65945895,0.423079085,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.003952743,0.00932065,0.019693087,0.012526443,0.013642955,0.030422108,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,UPF1_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.809869376,0.760976321,0.680643588,0.552537979,0.754866619,0.619709973,,,,,,,,,,,,,,,,
2,fold_2,0.803967102,0.780091903,0.703541118,0.557204808,0.696206198,0.711032239,,,,,,,,,,,,,,,,
3,fold_3,0.816545718,0.777391749,0.703100532,0.573077824,0.746839654,0.664201183,,,,,,,,,,,,,,,,
4,fold_4,0.810353169,0.769216944,0.691629956,0.557844863,0.738575269,0.650295858,,,,,,,,,,,,,,,,
5,fold_5,0.81161103,0.773414257,0.697059281,0.562430263,0.734667104,0.663114269,,,,,,,,,,,,,,,,
6,mean,0.810469279,0.772218235,0.695194895,0.560619147,0.734230969,0.661670705,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.00449662,0.00750964,0.009487937,0.007796769,0.022637112,0.032920884,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,UPF1_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.746334417,0.737380138,0.654874214,0.45962324,0.608029197,0.709540034,,,,,,,,,,,,,,,,
2,fold_2,0.765836042,0.705166052,0.599456387,0.451622722,0.714580265,0.51628006,,,,,,,,,,,,,,,,
3,fold_3,0.758613218,0.718067151,0.624747361,0.449172876,0.661750714,0.591663122,,,,,,,,,,,,,,,,
4,fold_4,0.769014085,0.714743429,0.615994236,0.462547551,0.70719603,0.54562859,,,,,,,,,,,,,,,,
5,fold_5,0.747634525,0.739418994,0.657585261,0.463320065,0.609556686,0.713829787,,,,,,,,,,,,,,,,
6,mean,0.757486457,0.722955153,0.630531492,0.457257291,0.660222578,0.615388319,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.0103114,0.014890562,0.025174017,0.006470084,0.05112431,0.091933427,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,YBX3_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.720593308,0.57491479,0.319899244,0.210188895,0.551374819,0.225310467,,,,,,,,,,,,,,,,
2,fold_2,0.711452225,0.617388679,0.441899255,0.255475492,0.507146503,0.391527094,,,,,,,,,,,,,,,,
3,fold_3,0.721858112,0.558217407,0.257747775,0.191679567,0.580912863,0.165615142,,,,,,,,,,,,,,,,
4,fold_4,0.722835461,0.597384768,0.384055194,0.242606462,0.546148256,0.296157635,,,,,,,,,,,,,,,,
5,fold_5,0.730021847,0.594499609,0.367797523,0.251079054,0.580042463,0.269268677,,,,,,,,,,,,,,,,
6,mean,0.72135219,0.588481051,0.354279798,0.230205894,0.553124981,0.269575803,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.006637097,0.022644435,0.069366646,0.027897014,0.030259194,0.084181418,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,ZNF622_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.735356387,0.64585184,0.48840382,0.351065112,0.672651357,0.383388862,,,,,,,,,,,,,,,,
2,fold_2,0.737630361,0.662557124,0.526330691,0.366216047,0.649318896,0.442513687,,,,,,,,,,,,,,,,
3,fold_3,0.737708774,0.651776527,0.501118568,0.359159108,0.670926518,0.399904785,,,,,,,,,,,,,,,,
