,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
8,mean_std,0.003815518,0.019577592,0.021935131,0.022598409,0.01258254,0.04814042,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ELVAL1-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.897897898,0.838710889,0.743718593,0.679983991,0.747474747,0.74,,,,,,,,,,,,,,,
2,fold_2,0.881881882,0.793088235,0.686170213,0.615687757,0.732954545,0.645,,,,,,,,,,,,,,,
3,fold_3,0.897897898,0.819968711,0.73015873,0.669182099,0.775280899,0.69,,,,,,,,,,,,,,,
4,fold_4,0.885885886,0.795591364,0.693548387,0.626603977,0.75,0.645,,,,,,,,,,,,,,,
5,fold_5,0.888888889,0.819959324,0.717557252,0.648585117,0.730569948,0.705,,,,,,,,,,,,,,,
6,mean,0.89049049,0.813463705,0.714230635,0.648008588,0.747256028,0.685,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.007204426,0.019082117,0.024235578,0.0272666,0.017860069,0.040773766,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ELVAL1-A,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.866733467,0.776159148,0.652741514,0.571349069,0.683060109,0.625,,,,,,,,,,,,,,,
2,fold_2,0.870741483,0.774918546,0.656,0.578804016,0.702857143,0.615,,,,,,,,,,,,,,,
3,fold_3,0.858717435,0.731804511,0.595988539,0.520740485,0.697986577,0.52,,,,,,,,,,,,,,,
4,fold_4,0.863727455,0.764912281,0.638297872,0.556488621,0.681818182,0.6,,,,,,,,,,,,,,,
5,fold_5,0.861723447,0.758038847,0.629032258,0.546987353,0.680232558,0.585,,,,,,,,,,,,,,,
6,mean,0.864328657,0.761166667,0.634412037,0.554873909,0.689190914,0.589,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.004624441,0.018026631,0.02409573,0.022770467,0.010444204,0.041442732,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ELVAL1-M,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.73295145,0.59589711,0.35887361,0.279731454,0.666666667,0.24551971,,,,,,,,,,,,,,,
2,fold_2,0.74086197,0.67666456,0.54632283,0.367618667,0.584867076,0.5125448,,,,,,,,,,,,,,,
3,fold_3,0.73076923,0.6671421,0.53289162,0.345697455,0.564694082,0.50448029,,,,,,,,,,,,,,,
4,fold_4,0.73622477,0.66199346,0.521524,0.345757956,0.582320442,0.47222222,,,,,,,,,,,,,,,
5,fold_5,0.72585925,0.69964158,0.58419528,0.383997993,0.542659493,0.63261649,,,,,,,,,,,,,,,
6,mean,0.73333333,0.66026776,0.50876147,0.344560705,0.588241552,0.4734767,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.00564852,0.03877166,0.08705262,0.039662724,0.046981786,0.14122586,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,EWSR1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.865,0.743125,0.615384615,0.543221921,0.715231788,0.54,,,,,,,,,,,,,,,
2,fold_2,0.882,0.7725,0.666666667,0.603963859,0.766233766,0.59,,,,,,,,,,,,,,,
3,fold_3,0.865,0.7525,0.626038781,0.549613575,0.701863354,0.565,,,,,,,,,,,,,,,
4,fold_4,0.873,0.759375,0.642253521,0.573355387,0.735483871,0.57,,,,,,,,,,,,,,,
5,fold_5,0.863,0.7475,0.618384401,0.541462807,0.698113208,0.555,,,,,,,,,,,,,,,
6,mean,0.8696,0.755,0.633745597,0.56232351,0.723385197,0.564,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.007924645,0.011498981,0.021146327,0.026538666,0.028065633,0.018506756,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,FUS,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.889779559,0.799937343,0.702702703,0.638759468,0.764705882,0.65,,,,,,,,,,,,,,,
2,fold_2,0.892785571,0.818677945,0.722077922,0.656549251,0.751351351,0.695,,,,,,,,,,,,,,,
3,fold_3,0.893787575,0.811810777,0.718085106,0.65500606,0.767045455,0.675,,,,,,,,,,,,,,,
4,fold_4,0.892785571,0.824298246,0.726342711,0.659990353,0.743455497,0.71,,,,,,,,,,,,,,,
5,fold_5,0.885771543,0.821785714,0.715,0.643571429,0.715,0.715,,,,,,,,,,,,,,,
6,mean,0.890981964,0.815302005,0.716841688,0.650775312,0.748311637,0.689,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.003277641,0.009780456,0.008979649,0.009116345,0.020989368,0.02678619,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,hnRNPC-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.921,0.864375,0.795865633,0.747605492,0.823529412,0.77,,,,,,,,,,,,,,,
2,fold_2,0.911,0.8525,0.772378517,0.7173947,0.790575916,0.755,,,,,,,,,,,,,,,
3,fold_3,0.91,0.844375,0.765625,0.710996745,0.798913043,0.735,,,,,,,,,,,,,,,
4,fold_4,0.902,0.816875,0.733695652,0.678049905,0.803571429,0.675,,,,,,,,,,,,,,,
5,fold_5,0.906,0.82125,0.743169399,0.690710493,0.819277108,0.68,,,,,,,,,,,,,,,
6,mean,0.91,0.839875,0.76214684,0.708951467,0.807173382,0.723,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.007106335,0.020345646,0.024613793,0.0267266,0.013880769,0.043387786,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,hnRNPC-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.931,0.87625,0.819843342,0.778448565,0.857923497,0.785,,,,,,,,,,,,,,,
2,fold_2,0.931,0.874375,0.818897638,0.777885343,0.861878453,0.78,,,,,,,,,,,,,,,
3,fold_3,0.939,0.879375,0.836461126,0.802385162,0.901734104,0.78,,,,,,,,,,,,,,,
4,fold_4,0.932,0.873125,0.82010582,0.780366155,0.870786517,0.775,,,,,,,,,,,,,,,
5,fold_5,0.931,0.88,0.821705426,0.779664046,0.85026738,0.795,,,,,,,,,,,,,,,
6,mean,0.9328,0.876625,0.82340267,0.783749854,0.86851799,0.783,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.00349285,0.00301688,0.007369485,0.010463199,0.01998667,0.007582875,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,hnRNPL-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.802802803,0.597462453,0.341137124,0.261045896,0.515151515,0.255,,,,,,,,,,,,,,,
2,fold_2,0.801801802,0.581842929,0.302816901,0.236020298,0.511904762,0.215,,,,,,,,,,,,,,,
3,fold_3,0.803803804,0.583094493,0.304964539,0.242269661,0.524390244,0.215,,,,,,,,,,,,,,,
4,fold_4,0.818818819,0.603726533,0.35125448,0.307610239,0.620253165,0.245,,,,,,,,,,,,,,,
5,fold_5,0.815815816,0.614968711,0.378378378,0.312189688,0.583333333,0.28,,,,,,,,,,,,,,,
6,mean,0.808608609,0.596219024,0.335710285,0.271827156,0.551006604,0.242,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.008051683,0.014039097,0.032089384,0.035991579,0.048381494,0.027748874,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,hnRNPL-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.734724495,0.626747878,0.445394924,0.310470442,0.622310757,0.346802842,,,,,,,,,,,,,,,
2,fold_2,0.728450627,0.65644143,0.51498173,0.331629791,0.568891281,0.470404984,,,,,,,,,,,,,,,
3,fold_3,0.734724495,0.632289543,0.459271615,0.314970264,0.612759644,0.367274344,,,,,,,,,,,,,,,
4,fold_4,0.73690671,0.668322608,0.533720087,0.355031736,0.584745763,0.490884838,,,,,,,,,,,,,,,
5,fold_5,0.731314785,0.625853981,0.446318156,0.302964577,0.60610687,0.353202847,,,,,,,,,,,,,,,
6,mean,0.733224223,0.641931088,0.479937303,0.323013362,0.598962863,0.405713971,,,,,,,,,,,,,,,
