,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
5,fold_5,0.765118529,0.816062969,0.623789229,0.45538018,0.661190965,0.590392373,,,,,,,,,,,,,,,
6,mean,0.766739236,0.821265829,0.625070624,0.458631355,0.665435136,0.589732307,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.003188082,0.004734196,0.006671404,0.006737737,0.011231034,0.017114481,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,PUM2_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.852207977,0.923591855,0.786412764,0.673703059,0.773279352,0.8,,,,,,,,,,,,,,,
2,fold_2,0.863603989,0.927080749,0.802882141,0.69888931,0.789473684,0.816753927,,,,,,,,,,,,,,,
3,fold_3,0.847222222,0.92072852,0.766721044,0.654468092,0.797511312,0.738219895,,,,,,,,,,,,,,,
4,fold_4,0.859330484,0.925844322,0.792650919,0.686217129,0.794736842,0.790575916,,,,,,,,,,,,,,,
5,fold_5,0.856481481,0.923942779,0.788229112,0.679704282,0.791139241,0.785340314,,,,,,,,,,,,,,,
6,mean,0.855769231,0.924237645,0.787379196,0.678596375,0.789228086,0.78617801,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006330623,0.002422943,0.013196097,0.016410554,0.009447661,0.029351142,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,RBM15_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.742380261,0.767476348,0.554951943,0.383007746,0.631779258,0.494783905,,,,,,,,,,,,,,,
2,fold_2,0.739235607,0.769927865,0.478723404,0.352093584,0.681818182,0.368852459,,,,,,,,,,,,,,,
3,fold_3,0.740203193,0.774931516,0.520963426,0.365330777,0.648888889,0.435171386,,,,,,,,,,,,,,,
4,fold_4,0.739477504,0.7747922,0.521120498,0.363972754,0.646085998,0.436661699,,,,,,,,,,,,,,,
5,fold_5,0.7397194,0.768257134,0.533795494,0.369194016,0.637681159,0.459016393,,,,,,,,,,,,,,,
6,mean,0.740203193,0.771077013,0.521910953,0.366719775,0.649250697,0.438897168,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.001268516,0.003567101,0.027837189,0.011122284,0.019428669,0.04597078,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,RPS3_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.742203742,0.804658246,0.58985667,0.403181442,0.616359447,0.565539112,,,,,,,,,,,,,,,
2,fold_2,0.742896743,0.808393453,0.588235294,0.40307227,0.619158879,0.5602537,,,,,,,,,,,,,,,
3,fold_3,0.74047124,0.804876746,0.600958977,0.408708017,0.605800215,0.596194503,,,,,,,,,,,,,,,
4,fold_4,0.746708247,0.803695974,0.59501385,0.412379042,0.625145518,0.567653277,,,,,,,,,,,,,,,
5,fold_5,0.743589744,0.800893616,0.574223245,0.39601033,0.630050505,0.527484144,,,,,,,,,,,,,,,
6,mean,0.743173943,0.804503607,0.589657607,0.40467022,0.619302913,0.563424947,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.002290574,0.002691577,0.00995857,0.006234848,0.009228412,0.02448464,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,SND1_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.734042553,0.765621266,0.521824424,0.3428365,0.576381365,0.476702509,,,,,,,,,,,,,,,
2,fold_2,0.733769776,0.754732588,0.407047388,0.292724418,0.632075472,0.300179211,,,,,,,,,,,,,,,
3,fold_3,0.736770322,0.764829222,0.514343231,0.342422569,0.586681975,0.457885305,,,,,,,,,,,,,,,
4,fold_4,0.736497545,0.766994167,0.517964072,0.34407367,0.584459459,0.465053763,,,,,,,,,,,,,,,
5,fold_5,0.728859793,0.768412046,0.562884785,0.366592956,0.552677029,0.573476703,,,,,,,,,,,,,,,
6,mean,0.733987998,0.764117858,0.50481278,0.337730023,0.58645506,0.454659498,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.003177587,0.005421318,0.058059477,0.027142731,0.028843069,0.098216633,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,UCHL5_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.736794872,0.752454721,0.508498923,0.36125573,0.667504714,0.410672854,,,,,,,,,,,,,,,
2,fold_2,0.735128205,0.746417819,0.452860169,0.348755635,0.718487395,0.33062645,,,,,,,,,,,,,,,
3,fold_3,0.732307692,0.744026991,0.500956023,0.34965461,0.655819775,0.405259087,,,,,,,,,,,,,,,
4,fold_4,0.744871795,0.755975642,0.510575504,0.380144921,0.701351351,0.401392111,,,,,,,,,,,,,,,
5,fold_5,0.735128205,0.746090676,0.488613861,0.353105932,0.678817056,0.381670534,,,,,,,,,,,,,,,
6,mean,0.736846154,0.74899317,0.492300896,0.358583366,0.684396058,0.385924207,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.004767438,0.005011415,0.023666504,0.01302259,0.025410372,0.032793005,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,UPF1_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.803807304,0.863531481,0.697242206,0.552893203,0.719233148,0.676556137,,,,,,,,,,,,,,,
2,fold_2,0.805749806,0.866125446,0.694002448,0.553884525,0.732085216,0.659685864,,,,,,,,,,,,,,,
3,fold_3,0.80982906,0.866883786,0.706094266,0.566386901,0.729528536,0.684118674,,,,,,,,,,,,,,,
4,fold_4,0.806915307,0.86371657,0.700241255,0.558941181,0.726988103,0.67539267,,,,,,,,,,,,,,,
5,fold_5,0.802447552,0.863118211,0.702544604,0.554686387,0.706470588,0.698662013,,,,,,,,,,,,,,,
6,mean,0.805749806,0.864675099,0.700024956,0.55735844,0.722861118,0.678883072,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.002858186,0.001705311,0.004670285,0.005548974,0.010348697,0.014184043,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,UPF1_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.761452031,0.819084583,0.620705451,0.450080485,0.665847666,0.581295581,,,,,,,,,,,,,,,
2,fold_2,0.764477096,0.822065397,0.62594372,0.457338356,0.670588235,0.586872587,,,,,,,,,,,,,,,
3,fold_3,0.763900893,0.818546774,0.630106071,0.458756551,0.664761905,0.598884599,,,,,,,,,,,,,,,
4,fold_4,0.76318064,0.821487535,0.628390597,0.456765535,0.66411849,0.596310596,,,,,,,,,,,,,,,
5,fold_5,0.759723423,0.818190809,0.624493471,0.449663742,0.657034581,0.595023595,,,,,,,,,,,,,,,
6,mean,0.762546816,0.81987502,0.625927862,0.454520934,0.664470175,0.591677392,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.001944951,0.001776481,0.003635031,0.004307739,0.004868906,0.007339544,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,YBX3_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.723377223,0.699719365,0.274462284,0.213699999,0.617166213,0.176470588,,,,,,,,,,,,,,,
2,fold_2,0.724647725,0.703673259,0.35810447,0.242390741,0.579773322,0.259057265,,,,,,,,,,,,,,,
3,fold_3,0.728459228,0.698467286,0.34567214,0.247888329,0.605263158,0.241916634,,,,,,,,,,,,,,,
4,fold_4,0.728574729,0.708026946,0.388975559,0.262849063,0.5848319,0.291390728,,,,,,,,,,,,,,,
5,fold_5,0.724878725,0.701235393,0.372497366,0.24827097,0.575264443,0.275418777,,,,,,,,,,,,,,,
6,mean,0.725987526,0.70222445,0.347942364,0.24301982,0.592459807,0.248850799,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.002379134,0.003779484,0.044142994,0.018059094,0.017952331,0.04445968,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ZNF622_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.719355847,0.733046252,0.4328594,0.308232229,0.666342412,0.320542817,,,,,,,,,,,,,,,
2,fold_2,0.731707317,0.734113551,0.47873633,0.346485635,0.682251082,0.368741226,,,,,,,,,,,,,,,
3,fold_3,0.729831144,0.736492284,0.480144404,0.342241804,0.672283067,0.373420683,,,,,,,,,,,,,,,
4,fold_4,0.734834271,0.73952157,0.506402794,0.359220864,0.669745958,0.407112775,,,,,,,,,,,,,,,
5,fold_5,0.732332708,0.744488178,0.490172722,0.350054022,0.674037674,0.385119326,,,,,,,,,,,,,,,
6,mean,0.729612258,0.737532367,0.47766313,0.341246911,0.672932039,0.370987365,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
