,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
4,fold_4,0.806,0.84761875,0.156521739,0.175863115,0.6,0.09,,,,,,,,,,,,,,,,
5,fold_5,0.809,0.8462,0.187234043,0.204048586,0.628571429,0.11,,,,,,,,,,,,,,,,
6,mean,0.8208,0.85207875,0.331392226,0.301598033,0.631952381,0.239,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.012988456,0.008372862,0.147036821,0.104236458,0.027575088,0.127935531,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,EWSR1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.838,0.8724375,0.477419355,0.415481802,0.672727273,0.37,,,,,,,,,,,,,,,,
2,fold_2,0.828,0.86446875,0.376811594,0.347172283,0.684210526,0.26,,,,,,,,,,,,,,,,
3,fold_3,0.854,0.8832125,0.568047337,0.495795904,0.695652174,0.48,,,,,,,,,,,,,,,,
4,fold_4,0.842,0.87745625,0.476821192,0.426237304,0.705882353,0.36,,,,,,,,,,,,,,,,
5,fold_5,0.848,0.88051875,0.522012579,0.460310792,0.703389831,0.415,,,,,,,,,,,,,,,,
6,mean,0.842,0.87561875,0.484222411,0.428999617,0.692372431,0.377,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.009899495,0.00740767,0.07087464,0.055516232,0.013849248,0.080746517,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,FUS,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.852705411,0.887669173,0.647482014,0.555317846,0.622119816,0.675,,,,,,,,,,,,,,,,
2,fold_2,0.862725451,0.887675439,0.634666667,0.552473756,0.68,0.595,,,,,,,,,,,,,,,,
3,fold_3,0.859719439,0.88985589,0.631578947,0.54639576,0.666666667,0.6,,,,,,,,,,,,,,,,
4,fold_4,0.868737475,0.890582707,0.648793566,0.570859378,0.699421965,0.605,,,,,,,,,,,,,,,,
5,fold_5,0.856713427,0.893364662,0.548895899,0.494504211,0.743589744,0.435,,,,,,,,,,,,,,,,
6,mean,0.86012024,0.889829574,0.622283419,0.54391019,0.682359638,0.582,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.006078457,0.002364972,0.041723006,0.029055364,0.044499782,0.088430764,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,hnRNPC-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.884,0.9337625,0.719806763,0.647360752,0.696261682,0.745,,,,,,,,,,,,,,,,
2,fold_2,0.873,0.930825,0.703962704,0.625908455,0.659388646,0.755,,,,,,,,,,,,,,,,
3,fold_3,0.879,0.92920625,0.647230321,0.588448948,0.776223776,0.555,,,,,,,,,,,,,,,,
4,fold_4,0.874,0.92970625,0.704225352,0.626435832,0.663716814,0.75,,,,,,,,,,,,,,,,
5,fold_5,0.878,0.9327875,0.706730769,0.630597806,0.680555556,0.735,,,,,,,,,,,,,,,,
6,mean,0.8776,0.9312575,0.696391182,0.623750359,0.695229295,0.708,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.004393177,0.001963223,0.028243092,0.021577749,0.047576462,0.085848704,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,hnRNPC-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.918,0.9606875,0.78974359,0.739228476,0.810526316,0.77,,,,,,,,,,,,,,,,
2,fold_2,0.919,0.95946875,0.794936709,0.74457212,0.805128205,0.785,,,,,,,,,,,,,,,,
3,fold_3,0.92,0.96311875,0.793814433,0.744793795,0.819148936,0.77,,,,,,,,,,,,,,,,
4,fold_4,0.91,0.9584875,0.777227723,0.720899159,0.769607843,0.785,,,,,,,,,,,,,,,,
5,fold_5,0.92,0.9602125,0.788359788,0.741151775,0.837078652,0.745,,,,,,,,,,,,,,,,
6,mean,0.9174,0.960395,0.788816449,0.738129065,0.80829799,0.771,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.004219005,0.001734515,0.007032143,0.009913964,0.024789161,0.016355427,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,hnRNPL-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.821643287,0.850946115,0.3046875,0.302126383,0.696428571,0.195,,,,,,,,,,,,,,,,
2,fold_2,0.828657315,0.848101504,0.391459075,0.355349009,0.679012346,0.275,,,,,,,,,,,,,,,,
3,fold_3,0.816633267,0.846027569,0.348754448,0.300352114,0.604938272,0.245,,,,,,,,,,,,,,,,
4,fold_4,0.819639279,0.851597744,0.370629371,0.319030446,0.61627907,0.265,,,,,,,,,,,,,,,,
5,fold_5,0.820641283,0.849298246,0.409240924,0.340291444,0.601941748,0.31,,,,,,,,,,,,,,,,
6,mean,0.821442886,0.849194236,0.364954264,0.323429879,0.639720001,0.258,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.004447363,0.002240457,0.040591061,0.024025614,0.04457071,0.04236744,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,hnRNPL-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.887,0.934175,0.719602978,0.648878415,0.714285714,0.725,,,,,,,,,,,,,,,,
2,fold_2,0.885,0.9309125,0.688346883,0.62174465,0.75147929,0.635,,,,,,,,,,,,,,,,
3,fold_3,0.888,0.93254375,0.708333333,0.640026108,0.739130435,0.68,,,,,,,,,,,,,,,,
4,fold_4,0.879,0.92814375,0.685714286,0.611644318,0.713513514,0.66,,,,,,,,,,,,,,,,
5,fold_5,0.875,0.93023125,0.707259953,0.630233162,0.665198238,0.755,,,,,,,,,,,,,,,,
6,mean,0.8828,0.93120125,0.701851487,0.63050533,0.716721438,0.691,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.005585696,0.002292274,0.014397611,0.014669499,0.033095072,0.048656963,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,HnRNPL-L,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.813813814,0.844292866,0.205128205,0.237208654,0.705882353,0.12,,,,,,,,,,,,,,,,
2,fold_2,0.806806807,0.844267835,0.277153558,0.235883106,0.552238806,0.185,,,,,,,,,,,,,,,,
3,fold_3,0.806806807,0.856989987,0.178723404,0.190377307,0.6,0.105,,,,,,,,,,,,,,,,
4,fold_4,0.821821822,0.850594493,0.45398773,0.367519155,0.587301587,0.37,,,,,,,,,,,,,,,,
5,fold_5,0.816816817,0.847596996,0.344086022,0.298340454,0.607594937,0.24,,,,,,,,,,,,,,,,
6,mean,0.813213213,0.848748436,0.291815784,0.265865735,0.610603537,0.204,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
