,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
4,fold_4,0.896,0.9406,0.718918919,0.658888149,0.782352941,0.665,,,,,,,,,,,,,,,
5,fold_5,0.909,0.95055625,0.762402089,0.707327849,0.797814208,0.73,,,,,,,,,,,,,,,
6,mean,0.8972,0.93812875,0.721871092,0.66356241,0.786021381,0.67,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006906519,0.007683217,0.028453791,0.027394493,0.024219051,0.054198708,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ELVAL1-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.86986987,0.904198999,0.648648649,0.572271242,0.705882353,0.6,,,,,,,,,,,,,,,
2,fold_2,0.82982983,0.870381727,0.494047619,0.406840786,0.610294118,0.415,,,,,,,,,,,,,,,
3,fold_3,0.842842843,0.867859825,0.536873156,0.456610911,0.654676259,0.455,,,,,,,,,,,,,,,
4,fold_4,0.828828829,0.869831039,0.492581602,0.404132415,0.605839416,0.415,,,,,,,,,,,,,,,
5,fold_5,0.853853854,0.90135169,0.621761658,0.531875928,0.64516129,0.6,,,,,,,,,,,,,,,
6,mean,0.845045045,0.882724656,0.558782537,0.474346257,0.644370687,0.497,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.017271256,0.018355314,0.072621419,0.075333393,0.040423961,0.095433223,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ELVAL1-2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.866,0.889175,0.617142857,0.546109233,0.72,0.54,,,,,,,,,,,,,,,
2,fold_2,0.862,0.90935,0.607954545,0.533395145,0.703947368,0.535,,,,,,,,,,,,,,,
3,fold_3,0.863,0.9194375,0.611898017,0.537518664,0.705882353,0.54,,,,,,,,,,,,,,,
4,fold_4,0.865,0.91674375,0.579439252,0.527401456,0.768595041,0.465,,,,,,,,,,,,,,,
5,fold_5,0.867,0.89731875,0.621082621,0.550204208,0.721854305,0.545,,,,,,,,,,,,,,,
6,mean,0.8646,0.906405,0.607503459,0.538925741,0.724055813,0.525,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.002073644,0.012892262,0.016465319,0.009276083,0.026170897,0.033726844,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ELVAL1-A,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.841,0.84711875,0.519637462,0.443093783,0.65648855,0.43,,,,,,,,,,,,,,,
2,fold_2,0.841,0.85644375,0.504672897,0.43541283,0.669421488,0.405,,,,,,,,,,,,,,,
3,fold_3,0.831,0.84329375,0.561038961,0.457123648,0.583783784,0.54,,,,,,,,,,,,,,,
4,fold_4,0.853,0.85854375,0.555891239,0.487551353,0.702290076,0.46,,,,,,,,,,,,,,,
5,fold_5,0.831,0.843375,0.536986301,0.437792337,0.593939394,0.49,,,,,,,,,,,,,,,
